Name,URL,Description,Batch
Lumina,https://www.ycombinator.com/companies/lumina-2,AI Search Engine for Research,W24
Centauri AI,https://www.ycombinator.com/companies/centauri-ai,The Modern ETL and Data Science Platform for Finance,W24
ProSights,https://www.ycombinator.com/companies/prosights,AI-Native Operating System for the Modern Investment Firm,W24
Manifold Freight,https://www.ycombinator.com/companies/manifold-freight,Aggregating Spot Freight Opportunities for Carriers,W24
edgetrace,https://www.ycombinator.com/companies/edgetrace,Real-world video understanding models,W24
Clarum,https://www.ycombinator.com/companies/clarum,AI-powered investment due diligence,W24
Opencall.ai,https://www.ycombinator.com/companies/opencall-ai,AI call centers for any business,W24
Voicepanel,https://www.ycombinator.com/companies/voicepanel,Better surveys with AI,W24
Petra Security,https://www.ycombinator.com/companies/petra-security,Cybersecurity,W24
Abel,https://www.ycombinator.com/companies/abel,Transforming document review for litigation teams,W24
OffDeal,https://www.ycombinator.com/companies/offdeal,AI-native investment bank for buying SMBs,W24
Delve,https://www.ycombinator.com/companies/delve,"HIPAA and SOC 2 in days, not months.",W24
Andy AI,https://www.ycombinator.com/companies/andy-ai,Faster clinical documentation for home health nurses,W24
Hazel,https://www.ycombinator.com/companies/hazel-2,AI-enabled procurement software for government,W24
Shiboleth,https://www.ycombinator.com/companies/shiboleth,Shiboleth automates lending compliance for financial institutionsâ€¦,W24
Aftercare,https://www.ycombinator.com/companies/aftercare,Conversational post-purchase surveys using AI,W24
Soundry AI,https://www.ycombinator.com/companies/soundry-ai,Professional Quality AI Music Creation,W24
Elodin,https://www.ycombinator.com/companies/elodin,The future of aerospace software.,W24
HostAI,https://www.ycombinator.com/companies/hostai,The operating system for managing vacation rentals.,W24
Trieve,https://www.ycombinator.com/companies/trieve,Infrastructure for search teams building retrieval and RAG,W24
Tensorfuse,https://www.ycombinator.com/companies/tensorfuse,Run serverless GPUs on your own cloud,W24
Toma,https://www.ycombinator.com/companies/toma,AI for auto dealerships,W24
Carma,https://www.ycombinator.com/companies/carma,Same-Day Auto Repair for Commercial Fleets.,W24
Preloop,https://www.ycombinator.com/companies/preloop,Translate your experimental scripts into production ML services,W24
Superagent,https://www.ycombinator.com/companies/superagent,Open-source AI-agents for doing web research,W24
Bilanc,https://www.ycombinator.com/companies/bilanc,The Unit Economics Platform,W24
AdRizz.com,https://www.ycombinator.com/companies/adrizz-com,AI Generator for Ad Creatives,W24
Browser Buddy,https://www.ycombinator.com/companies/browser-buddy,Recommendations across the web,W24
Astro Mechanica,https://www.ycombinator.com/companies/astro-mechanica,New jet engines for the new Jet Age.,W24
CodeAnt AI,https://www.ycombinator.com/companies/codeant-ai,AI to Auto-Fix Static Analysis &amp; Security Vulnerabilities,W24
Draftaid,https://www.ycombinator.com/companies/draftaid,Go from 3D models to CAD drawings using AI,W24
Metofico,https://www.ycombinator.com/companies/metofico,No Code Data Analysis for Life Science Research,W24
Ellipsis,https://www.ycombinator.com/companies/ellipsis,AI code reviews &amp; bug fixes,W24
Dime,https://www.ycombinator.com/companies/dime-2,The Factory Operating System,W24
Lytix,https://www.ycombinator.com/companies/lytix,Analytics and alerts that make sense.,W24
Pythagora (GPT Pilot),https://www.ycombinator.com/companies/pythagora-gpt-pilot,OSS dev tool that builds entire apps from scratch by talking to you,W24
Wuri,https://www.ycombinator.com/companies/wuri,"App to read fiction stories as visual novels with images, videos,â€¦",W24
Open,https://www.ycombinator.com/companies/open,Autopilot customer support that saves you $100K a year,W24
Aedilic,https://www.ycombinator.com/companies/aedilic,Aedilic is building gpudeploy.com,W24
Salvy,https://www.ycombinator.com/companies/salvy,Mobile carrier for businesses in Brazil,W24
Centralize,https://www.ycombinator.com/companies/centralize,The AI-powered relationship intelligence platform for enterprise sales,W24
phospho,https://www.ycombinator.com/companies/phospho,Open Source Text Analytics for LLM Apps,W24
Quantic,https://www.ycombinator.com/companies/quantic,Next generation data for Sales teams.,W24
Resonance,https://www.ycombinator.com/companies/resonance,Optimize NRR within your product,W24
Firebender,https://www.ycombinator.com/companies/firebender,Find the best leads to sell to,W24
Aether Energy,https://www.ycombinator.com/companies/aether-energy,AI design and workflow software for solar installers worldwide,W24
Kiosk,https://www.ycombinator.com/companies/kiosk,WhatsApp Marketing for E-commerce,W24
Ragas,https://www.ycombinator.com/companies/ragas,Building the open source standard for evaluating LLM Applications,W24
sync labs,https://www.ycombinator.com/companies/sync-labs,AI lipsync tool for video content creators,W24
PandasAI,https://www.ycombinator.com/companies/pandasai,PandasAI is an open-source conversational data analysis platform withâ€¦,W24
Infinity,https://www.ycombinator.com/companies/infinity,Business banking for cross-border SMBs &amp; Startups,W24
InQuery,https://www.ycombinator.com/companies/inquery-2,AI Assistant for Insurance Claims Processing,W24
Markprompt,https://www.ycombinator.com/companies/markprompt,AI for customer support,W24
Tamarind Bio,https://www.ycombinator.com/companies/tamarind-bio,Easy to use computational biology tools for drug discovery,W24
Anaphero,https://www.ycombinator.com/companies/anaphero,Automating patient-facing tasks with voice AI,W24
Swift,https://www.ycombinator.com/companies/swift-2,Instant deposit API for brokerages and digital banks,W24
Intercept,https://www.ycombinator.com/companies/intercept,Helping CPG brands automatically flag and dispute invalid retail fees,W24
Creo,https://www.ycombinator.com/companies/creo,Build internal tools with AI,W24
Decipher AI,https://www.ycombinator.com/companies/decipher-ai,Helping engineers understand and fix production bugs,W24
Infinity AI,https://www.ycombinator.com/companies/infinity-ai,"Type a script, get a movie. ",W24
Double,https://www.ycombinator.com/companies/double-2,Design Your Own Stock Index,W24
Speck,https://www.ycombinator.com/companies/speck,AI assistant for web automation,W24
Guide Labs,https://www.ycombinator.com/companies/guide-labs,Interpretable foundation models that are easy to align,W24
OmniAI,https://www.ycombinator.com/companies/omniai,Build AI applications on your infrastructure,W24
Keywords AI,https://www.ycombinator.com/companies/keywords-ai,LLM monitoring platform for AI startups,W24
PromptArmor,https://www.ycombinator.com/companies/promptarmor,Security and Compliance for LLM Applications,W24
Zaymo,https://www.ycombinator.com/companies/zaymo,Interactive email builder for ecommerce brands,W24
Glimmer,https://www.ycombinator.com/companies/glimmer,AI search for massive PDFs,W24
Celest,https://www.ycombinator.com/companies/celest,The Vercel of Flutter,W24
Meticulate,https://www.ycombinator.com/companies/meticulate,The AI engine for world-class business research,W24
CloudCruise,https://www.ycombinator.com/companies/cloudcruise,An API to trigger workflows in the browser,W24
Attunement,https://www.ycombinator.com/companies/attunement,Automation workflow for psychiatric assessments.,W24
Lucite,https://www.ycombinator.com/companies/lucite,Automating deliverables for finance professionals.,W24
Selera Medical,https://www.ycombinator.com/companies/selera-medical,"One-time, device-based treatment for heart failure",W24
OneGrep,https://www.ycombinator.com/companies/onegrep,AI Agent for DevOps Workflow Automation,W24
Parasale,https://www.ycombinator.com/companies/parasale,AI Recruiter: Find and Engage Candidates on Autopilot,W24
Tusk,https://www.ycombinator.com/companies/tusk,AI agent that fixes customers' bugs instantly,W24
PartnerHQ,https://www.ycombinator.com/companies/partnerhq,A marketplace for B2B businesses to buy warm intros.,W24
atopile,https://www.ycombinator.com/companies/atopile,We make tools to design electronics circuit boards with code,W24
Airfront,https://www.ycombinator.com/companies/airfront,AI automation platform for your email inbox,W24
SynsoryBio,https://www.ycombinator.com/companies/synsorybio,"""If-then"" conditional logic for protein drugs",W24
Yoneda Labs,https://www.ycombinator.com/companies/yoneda-labs,Foundation Model for Chemical Manufacturing,W24
TokenOwl,https://www.ycombinator.com/companies/tokenowl,AI portfolio tools for the next generation of finance,W24
Hona,https://www.ycombinator.com/companies/hona-2,AI to help physicians intake and treat patients,W24
Topo,https://www.ycombinator.com/companies/topo,AI sales agent custom trained for each company to reach the best leads,W24
Trellis,https://www.ycombinator.com/companies/trellis,AI-powered workflows for unstructured data,W24
Ecliptor,https://www.ycombinator.com/companies/ecliptor,AI and Embeddings.,W24
Greenboard,https://www.ycombinator.com/companies/greenboard,Rippling' for Financial Compliance and Operations,W24
Eggnog,https://www.ycombinator.com/companies/eggnog,Youtube for AI-generated content,W24
Artisan,https://www.ycombinator.com/companies/artisan,"AI Employees Called Artisans, Starting With An AI BDR",W24
Octolane AI,https://www.ycombinator.com/companies/octolane-ai,Building AI-first Salesforce,W24
SuretyNow,https://www.ycombinator.com/companies/suretynow,The Modern Surety Bond Platform,W24
Roe AI,https://www.ycombinator.com/companies/roe-ai,"Data warehouse to query unstructured data like docs, webs, imgs &amp; more",W24
FurtherAI,https://www.ycombinator.com/companies/furtherai,AI workforce for insurance industry,W24
Arini,https://www.ycombinator.com/companies/arini,AI receptionist for dentists,W24
Paradigm,https://www.ycombinator.com/companies/paradigm,The AI-integrated workspace,W24
PointOne,https://www.ycombinator.com/companies/pointone,Automated timekeeping and billing for law firms.,W24
Patchwork,https://www.ycombinator.com/companies/patchwork,Your teamâ€™s AI powered communication tool,W24
Starlight Charging,https://www.ycombinator.com/companies/starlight-charging,Ultra-low-cost EV charging for condos and apartments,W24
Assembly,https://www.ycombinator.com/companies/assembly-2,Contextual Code Search for engineering teams,W24
MathDash,https://www.ycombinator.com/companies/mathdash,Turning Math into a Sport,W24
Leaping,https://www.ycombinator.com/companies/leaping,Automate bug resolution,W24
Basalt Tech,https://www.ycombinator.com/companies/basalt-tech,"Autonomy in space, for every mission",W24
Carousel Technologies,https://www.ycombinator.com/companies/carousel-technologies,Professional AI toolkit for PowerPoint,W24
Agentic Labs,https://www.ycombinator.com/companies/agentic-labs-2,AI system design tools for dev teams,W24
DaLMatian,https://www.ycombinator.com/companies/dalmatian,The first autonomous AI data analyst agent,W24
Pivot Robotics,https://www.ycombinator.com/companies/pivot-robotics,AI for Robot Arms in Factories,W24
Aidy,https://www.ycombinator.com/companies/aidy,We help government affairs professionals track and analyze legislation,W24
DGI Apparel,https://www.ycombinator.com/companies/dgi-apparel,Expedia for ordering blank apparel,W24
Buster,https://www.ycombinator.com/companies/buster,Infrastructure to connect LLMs and databases,W24
Garage,https://www.ycombinator.com/companies/garage-2,Marketplace for used firefighting equipment.,W24
Mango Health,https://www.ycombinator.com/companies/mango-health,We get physicians paid for sending patients to therapy.,W24
"Argon AI, Inc.",https://www.ycombinator.com/companies/argon-ai-inc,AI for Pharma Intelligence,W24
nCompass Technologies,https://www.ycombinator.com/companies/ncompass-technologies,Deploy hardware accelerated AI models with only one line of code,W24
Pretzel AI,https://www.ycombinator.com/companies/pretzel-ai,Open-source &amp; AI-native replacement for Jupyter Notebooks,W24
Apriora,https://www.ycombinator.com/companies/apriora,Your AI recruiter for interviewing and identifying the best talent,W24
malibou,https://www.ycombinator.com/companies/malibou,the first all-in-one payroll and HR software for French SMBs,W24
Quary,https://www.ycombinator.com/companies/quary,The first in-browser analytics engineering platform,W24
Hemingway,https://www.ycombinator.com/companies/hemingway,Modern Patient Management for Retail Healthcare,W24
Tile,https://www.ycombinator.com/companies/tile,AI-first notebook for building operational data apps,W24
Adagy Robotics,https://www.ycombinator.com/companies/adagy-robotics,Rescuing robots,W24
Momentic,https://www.ycombinator.com/companies/momentic,Automate software testing with AI,W24
Reducto,https://www.ycombinator.com/companies/reducto,Unlocking data behind complex documents,W24
Vectorview,https://www.ycombinator.com/companies/vectorview,Building custom evaluation tasks for AI,W24
Maia,https://www.ycombinator.com/companies/maia,AI relationship app that keeps couples together,W24
"Nuanced, Inc.",https://www.ycombinator.com/companies/nuanced-inc,"Nuanced detects AI fraud, deepfakes, and misinformation. ",W24
Precip,https://www.ycombinator.com/companies/precip,High precision AI weather models,W24
Tracecat,https://www.ycombinator.com/companies/tracecat,Open source Tines / Splunk SOAR alternative for security engineers.,W24
Kabilah,https://www.ycombinator.com/companies/kabilah,Simplifying Patient Handoff for Nurses,W24
Sonia,https://www.ycombinator.com/companies/sonia,AI Therapy for Mental Health,W24
MAIHEM,https://www.ycombinator.com/companies/maihem,AI agents that test AI products,W24
ion design,https://www.ycombinator.com/companies/ion-design,Your front end team in a box - Prompt to code &amp; Figma to code,W24
Duckie,https://www.ycombinator.com/companies/duckie,AI technical support engineer that handles tickets.,W24
Happenstance,https://www.ycombinator.com/companies/happenstance,People search powered by AI,W24
Ubicloud,https://www.ycombinator.com/companies/ubicloud,Open source alternative to AWS,W24
Greptile,https://www.ycombinator.com/companies/greptile,"AI expert on any codebase in natural language, accessible via API",W24
HeyPurple,https://www.ycombinator.com/companies/heypurple,Purple is an AI agent for online local marketplaces.,W24
ego,https://www.ycombinator.com/companies/ego,AI-native 3D simulation engine,W24
Leya,https://www.ycombinator.com/companies/leya,The AI workspace for lawyers,W24
Scritch,https://www.ycombinator.com/companies/scritch,AI operating system for veterinary care,W24
RadMate AI,https://www.ycombinator.com/companies/radmate-ai,Copilot for radiologists,W24
SSOReady,https://www.ycombinator.com/companies/ssoready,Open source developer tools for enterprise single sign-on,W24
Relari,https://www.ycombinator.com/companies/relari,Testing and Simulation Stack for GenAI Systems,W24
DryMerge,https://www.ycombinator.com/companies/drymerge,Automate work with plain English.,W24
Navier AI,https://www.ycombinator.com/companies/navier-ai,Real-Time CFD Simulations,W24
Upsolve AI,https://www.ycombinator.com/companies/upsolve-ai,"Customer-facing analytics as a service, powered by AI.",W24
SciPhi,https://www.ycombinator.com/companies/sciphi,Build and deploy  production-ready RAG,W24
Gumloop,https://www.ycombinator.com/companies/gumloop,A no-code platform for automating workflows with AI,W24
Driver AI,https://www.ycombinator.com/companies/driver-ai,Understand millions of lines of code in minutes.,W24
Lantern,https://www.ycombinator.com/companies/lantern-2,Postgres vector database extension to build AI applications,W24
Danswer,https://www.ycombinator.com/companies/danswer,Open Source AI Assistant and Enterprise Search,W24
Yenmo,https://www.ycombinator.com/companies/yenmo,Secured consumer lending in India,W24
GovernGPT,https://www.ycombinator.com/companies/governgpt,AI Back Office for Fund Managers,W24
Arcane,https://www.ycombinator.com/companies/arcane,AI powered Roblox,W24
Blume Benefits,https://www.ycombinator.com/companies/blume-benefits,The AI copilot for health insurance brokers.,W24
Stitch Technologies,https://www.ycombinator.com/companies/stitch-technologies,-,W24
